smiles,A,B,C,mu,alpha,homo,lumo,r2,zpve,u0,cv,u0_atom
CC(O)C1=CC=CO1,4.48905,1.4155,1.37294,1.4923,66.82,-0.2224,0.0129,961.6343,0.130589,-383.768433,28.457,-1604.2010306311
CC(O)C1=CN=CN1,4.52991,1.53811,1.19804,2.4292,66.28,-0.2218,0.0251,977.7573,0.132226,-379.960349,28.139,-1563.7549380361
CC(O)C1=CN=CO1,4.62674,1.40818,1.37762,1.8274,62.48,-0.2455,-0.0031,941.1805,0.119345,-399.828219,27.124,-1493.1131123611
CC(O)C1=NC=CN1,4.52071,1.58231,1.25229,4.1303,66.45,-0.2269,0.0244,956.8037,0.131898,-379.963234,28.24,-1565.565301501
CC(O)C1=NC=CO1,4.56855,1.61574,1.27536,2.6073,62.53,-0.2476,-0.0032,931.2273,0.119081,-399.832118,27.22,-1495.559769952
CN(C)c1ccc[nH]1,4.53951,1.53477,1.26042,1.7418,75.53,-0.1757,0.0543,999.6836,0.154991,-344.005118,30.278,-1728.181121306
CN(C)c1ccco1,4.57762,1.63878,1.24816,1.2822,72.61,-0.177,0.0382,972.6128,0.142581,-363.87875,29.024,-1661.1550024891
CN(C)c1cnco1,4.70144,1.63867,1.25617,3.0273,68.3,-0.194,0.0207,949.8519,0.131337,-379.939075,27.692,-1550.40531157
CN(C)c1ncco1,4.65096,1.70734,1.27423,1.8192,68.34,-0.193,0.0327,939.9648,0.131296,-379.947201,27.883,-1555.504449704
CC(C)c1cc[nH]c1,4.26348,1.44189,1.18678,1.7379,77.47,-0.1992,0.0515,1061.0868,0.166638,-327.971751,31.163,-1855.847199847
CC(C)c1c[nH]cn1,4.3323,1.5128,1.21468,3.261,73.47,-0.2165,0.0366,1021.574,0.155329,-344.034746,29.776,-1746.772957958
CC(C)c1ccoc1,4.31996,1.45344,1.18396,0.8601,73.02,-0.2185,0.0244,1042.5946,0.154232,-347.839941,29.645,-1785.4061770521
CC(C)c1cocn1,4.39183,1.5115,1.217,1.1935,69.03,-0.2391,0.0074,1004.4381,0.142876,-363.904058,28.396,-1677.0360002611
CC(O)C1=CNC=C1,4.42107,1.4965,1.16321,2.5887,70.27,-0.2046,0.0443,1014.9989,0.143287,-363.897813,29.816,-1673.117206556
CC(O)C1=CNC=N1,4.54867,1.44401,1.31946,4.7112,66.26,-0.2275,0.0242,962.5211,0.132056,-379.961449,28.296,-1564.4451979361
CC(O)C1=COC=C1,4.48979,1.49059,1.17033,1.5424,65.84,-0.2236,0.0178,996.9563,0.130772,-383.764862,28.355,-1601.9601959921
CC(O)C1=COC=N1,4.62022,1.41469,1.33944,1.9596,61.94,-0.25,-0.0039,946.9814,0.119516,-399.829091,27.019,-1493.6603002091
CN(C)c1cc[nH]c1,4.53829,1.55546,1.19755,1.4141,75.43,-0.1681,0.0554,1012.9599,0.154907,-344.002867,30.586,-1726.768598547
CN(C)c1c[nH]cn1,4.62292,1.62121,1.23316,2.8167,71.87,-0.1742,0.0403,975.0639,0.143699,-360.069657,29.194,-1620.075753313
CN(C)c1ccoc1,4.60642,1.55472,1.20024,1.498,71.08,-0.1863,0.0295,995.4528,0.142671,-363.871619,28.93,-1656.68023581
CN(C)c1cocn1,4.69299,1.61627,1.23482,1.4041,67.48,-0.1927,0.0126,958.8418,0.131321,-379.939265,27.753,-1550.52453828
CC(C)n1cccc1,4.29101,1.4005,1.37238,2.1702,77.42,-0.1983,0.0512,1016.9163,0.166335,-327.969332,30.662,-1854.329255576
CC(C)n1ccnc1,4.38451,1.406,1.38787,4.1238,72.69,-0.2176,0.0368,992.412,0.155169,-344.028616,29.246,-1742.926327788
Cc1cc2n(c1)CC2,6.24685,1.53574,1.26206,1.859,77.62,-0.1915,0.0589,974.4328,0.143688,-326.734522,27.227,-1707.3264872
Cc1cn2c(n1)CC2,6.39103,1.59322,1.30713,3.3798,72.94,-0.2068,0.0468,935.3847,0.132359,-342.795786,26.027,-1597.166027232
c1c(cn2c1CC2)N,6.2509,1.57241,1.28798,1.8907,74.03,-0.1711,0.049,930.731,0.133141,-342.777931,26.964,-1585.961854037
c1c(nc2n1CC2)N,6.39258,1.63779,1.33748,2.8831,69.46,-0.1799,0.0361,890.9275,0.121846,-358.843125,25.724,-1478.267504439
c1c(cn2c1CC2)O,6.32551,1.57399,1.28773,2.0333,69.31,-0.1819,0.0466,908.1939,0.120514,-362.655964,26.052,-1521.697402329
c1c(nc2n1CC2)O,6.48913,1.64071,1.3384,3.0015,64.77,-0.1938,0.0327,868.4927,0.10958,-378.723993,24.437,-1415.782040746
C#Cc1ccccc1,5.70532,1.53375,1.2088,0.6398,81.2,-0.2321,-0.029,942.2448,0.109052,-308.307402,25.463,-1588.5942542921
C#Cc1ccncc1,6.05867,1.52914,1.22098,1.9174,76.14,-0.2582,-0.0515,916.766,0.097511,-324.353627,24.274,-1468.9966864731
C#Cc1cccnc1,5.87752,1.55792,1.2315,1.9198,76.7,-0.2448,-0.0432,912.7194,0.097476,-324.3541,24.343,-1469.29349823
C#Cc1cnccn1,6.05524,1.60911,1.27128,0.0375,73.11,-0.2552,-0.0642,877.5911,0.085425,-340.395789,23.373,-1346.849549587
C#Cc1cncnc1,6.08871,1.5779,1.25314,1.9572,71.83,-0.2558,-0.0556,884.5438,0.085725,-340.403477,23.381,-1351.673838779
C#Cc1ccccn1,5.88567,1.5855,1.24903,2.2261,76.94,-0.2443,-0.0432,905.8986,0.09735,-324.352265,24.334,-1468.142019215
C#Cc1ncccn1,6.08962,1.63916,1.29152,1.9999,72.22,-0.255,-0.0544,870.0486,0.085474,-340.399791,23.359,-1349.360840605
C#Cc1cnccn1,6.05518,1.60913,1.27129,0.0381,73.11,-0.2552,-0.0642,877.5856,0.085425,-340.395788,23.373,-1346.848922078
C#Cc1ccncn1,6.2481,1.58338,1.26325,2.3272,71.58,-0.2597,-0.0652,880.1414,0.085689,-340.40165,23.273,-1350.527379836
C#Cc1ncncn1,6.46088,1.63923,1.3075,0.6692,66.65,-0.2764,-0.0779,844.2441,0.073895,-356.45202,22.307,-1233.530836822
c1ccc(cc1)C#N,5.67925,1.54914,1.21714,4.5511,74.09,-0.2674,-0.0519,914.1929,0.099,-324.413217,23.188,-1506.389947783
c1cnccc1C#N,6.0286,1.54364,1.22896,2.0541,69.26,-0.2788,-0.0756,889.37,0.08726,-340.456824,22.146,-1385.149561402
c1cc(cnc1)C#N,5.85236,1.5727,1.23959,3.8666,69.67,-0.2792,-0.0668,885.3539,0.087293,-340.458164,22.163,-1385.990423462
c1cnc(cn1)C#N,6.03706,1.62284,1.27902,4.0331,65.94,-0.2787,-0.0885,851.4152,0.075094,-356.497715,21.312,-1262.204860577
c1c(cncn1)C#N,6.06237,1.59232,1.26109,1.9964,64.92,-0.2791,-0.0806,857.7698,0.07545,-356.505631,21.266,-1267.172221821
c1ccnc(c1)C#N,5.86576,1.60007,1.25714,5.6205,69.76,-0.2808,-0.0669,878.977,0.087129,-340.456348,22.197,-1384.850867118
c1cnc(nc1)C#N,6.07584,1.65313,1.29955,6.1189,65.05,-0.2812,-0.0795,844.1499,0.075174,-356.501918,21.294,-1264.842280904
c1cnc(cn1)C#N,6.03722,1.62288,1.27905,4.0324,65.94,-0.2786,-0.0885,851.3965,0.075095,-356.497714,21.313,-1262.204233068
c1cncnc1C#N,6.22539,1.59693,1.27091,3.413,64.61,-0.2822,-0.0904,853.942,0.075293,-356.502851,21.261,-1265.427746801
c1ncnc(n1)C#N,6.44601,1.65191,1.31493,3.5279,59.7,-0.304,-0.1045,819.1745,0.063413,-372.550957,20.368,-1147.010523411
c1ccc(cc1)C=O,5.256,1.56596,1.2065,3.2146,73.64,-0.2541,-0.062,932.1798,0.10962,-345.487298,23.879,-1564.804760593
c1cnccc1C=O,5.54545,1.56044,1.21777,1.6094,68.36,-0.2654,-0.0831,907.3817,0.097846,-361.531106,22.879,-1443.6905035211
c1cc(cnc1)C=O,5.36914,1.59701,1.23089,3.7729,68.88,-0.256,-0.0741,902.3443,0.097876,-361.532018,22.907,-1444.262791729
c1cnc(cn1)C=O,5.65032,1.62069,1.25944,2.7979,65.01,-0.2559,-0.0904,873.3946,0.085654,-377.569821,22.098,-1319.380343112
c1c(cncn1)C=O,5.5809,1.61137,1.25035,1.601,63.77,-0.269,-0.0872,874.8874,0.086076,-377.580268,22.017,-1325.935929635
c1ccnc(c1)C=O,5.3864,1.6205,1.24573,3.5652,68.89,-0.2556,-0.0727,895.9881,0.097906,-361.534362,22.894,-1445.733672825
c1cnc(nc1)C=O,5.60997,1.65911,1.28043,4.6347,63.96,-0.26,-0.0828,865.363,0.085784,-377.577014,22.088,-1323.894015349
c1cnc(cn1)C=O,5.65047,1.62069,1.25945,2.7982,65.01,-0.2559,-0.0904,873.3862,0.085655,-377.56982,22.098,-1319.379715603
c1cncnc1C=O,5.68896,1.61653,1.25883,1.0809,63.31,-0.265,-0.0941,870.9974,0.086073,-377.581341,21.978,-1326.609246792
c1ncnc(n1)C=O,5.91492,1.65864,1.29539,2.3623,58.27,-0.2742,-0.1052,840.17,0.074031,-393.627037,21.18,-1206.679726712
CN=C1C=CNC=N1,5.21971,1.60141,1.23475,5.4188,75.53,-0.1994,-0.016,948.2274,0.120988,-358.874614,26.534,-1498.02713534
CN=c1ccocc1,5.21261,1.54252,1.19923,2.3222,74.22,-0.2135,-0.0243,965.8414,0.120221,-362.682031,26.055,-1538.054679432
CN=c1ccocn1,5.36553,1.59702,1.24009,2.475,70.47,-0.2281,-0.0277,929.6873,0.10849,-378.743227,25.103,-1427.851548852
CN=C1N=CNC=N1,5.32811,1.65889,1.27494,6.1921,70.7,-0.2195,-0.0347,911.9296,0.109027,-374.926722,25.523,-1382.121202968
CN=c1ncocn1,5.48666,1.65325,1.28043,3.3437,65.77,-0.2488,-0.0442,893.8139,0.096568,-394.797835,24.161,-1313.51438898
CN=c1ccnc[nH]1,5.24426,1.61254,1.24298,2.4987,73.65,-0.2109,-0.0358,938.5412,0.1214,-358.879945,25.922,-1501.372385819
CN=C1NC=NC=N1,5.49586,1.63144,1.26784,2.3294,69.31,-0.2247,-0.0567,913.7717,0.109981,-374.938744,24.824,-1389.665116166
CN=C1OC=CC=C1,5.04134,1.66328,1.26043,2.7414,74.89,-0.2065,-0.0432,935.0832,0.119738,-362.691122,26.286,-1543.759363751
CN=C1OC=CC=N1,5.12787,1.72735,1.30255,4.2826,70.32,-0.227,-0.0642,898.1593,0.107638,-378.739088,25.436,-1425.254289101
CN=C1OC=CN=C1,5.21604,1.67314,1.27683,2.3612,70.52,-0.2257,-0.065,909.6631,0.107868,-378.734197,25.306,-1422.185142582
CN=c1ccnco1,5.27957,1.66068,1.2733,0.8092,69.63,-0.2304,-0.0542,910.3923,0.10815,-378.749129,25.215,-1431.55510697
CN=C1OC=NC=N1,5.37801,1.72464,1.31656,2.7971,64.78,-0.2531,-0.0753,873.7428,0.096121,-394.800153,24.374,-1314.9689548421
CCc1ccccc1,4.55219,1.45847,1.21069,0.2938,81.44,-0.2365,0.0044,1039.8799,0.156336,-310.746321,27.987,-1863.3346372351
CCc1ccncc1,4.77239,1.45617,1.22408,2.6002,76.77,-0.2485,-0.018,1013.252,0.144882,-326.794822,26.836,-1745.1652799001
CCc1cccnc1,4.67634,1.47887,1.23125,2.3221,77.02,-0.2475,-0.0196,1010.3308,0.144755,-326.794175,26.9,-1744.759281577
CCc1cnccn1,4.85184,1.53767,1.26724,0.6077,73.36,-0.2433,-0.0467,971.3664,0.13284,-342.841304,26.001,-1625.728981894
CCc1cncnc1,4.80529,1.49792,1.25376,2.7312,72.23,-0.2474,-0.0374,981.1941,0.133126,-342.844588,25.927,-1627.78972145
CCc1ccccn1,4.71238,1.52227,1.249,1.6998,77.36,-0.2474,-0.0198,998.7002,0.144706,-326.796896,26.952,-1746.466733566
CCc1ncccn1,4.77631,1.575,1.308,1.5542,72.71,-0.2443,-0.0357,956.9461,0.132965,-342.848779,25.991,-1630.419611669
CCc1cnccn1,4.85184,1.53767,1.26724,0.6077,73.36,-0.2433,-0.0467,971.3665,0.13284,-342.841304,26.001,-1625.728981894
CCc1ccncn1,4.93687,1.52341,1.26344,2.3519,72.39,-0.248,-0.036,971.9973,0.133086,-342.848368,25.938,-1630.16170547
CCc1ncncn1,5.00277,1.57711,1.32549,0.8764,67.56,-0.2661,-0.0474,930.0967,0.121407,-358.902931,24.994,-1515.796307693
CNc1ccccc1,4.9935,1.51768,1.17586,1.7721,80.24,-0.1905,0.0108,1013.9904,0.144989,-326.790318,27.973,-1742.338979364
CNc1cccnc1,5.08715,1.55094,1.20056,3.4201,76.15,-0.2027,-0.0115,982.0214,0.133448,-342.83746,26.868,-1623.316837298
CNc1cnccn1,5.22569,1.60364,1.2379,2.4235,72.88,-0.212,-0.0327,945.5625,0.121441,-358.892629,26.017,-1509.331709975
CNc1cncnc1,5.28817,1.5634,1.21877,4.1711,71.61,-0.2162,-0.0299,954.1461,0.12167,-358.888042,25.924,-1506.453326192
CNc1ccccn1,5.13187,1.57201,1.21471,1.8443,76.52,-0.2002,-0.0078,975.6387,0.13337,-342.848438,26.922,-1630.2056311
CNc1ncccn1,5.28146,1.64981,1.26736,0.369,72.06,-0.2139,-0.024,930.7274,0.121644,-358.907342,25.96,-1518.564249892
CNc1cnccn1,5.22569,1.60365,1.2379,2.4235,72.88,-0.212,-0.0327,945.5625,0.121441,-358.892629,26.017,-1509.331709975
CNc1ccncn1,5.41277,1.5697,1.22622,4.0116,71.3,-0.2246,-0.016,949.8811,0.121825,-358.904275,25.891,-1516.639679789
CNc1ncncn1,5.54144,1.65373,1.28384,2.8746,66.54,-0.2421,-0.033,903.5976,0.110397,-374.965826,24.745,-1406.659314904
COc1ccccc1,5.06018,1.56809,1.2063,1.2422,75.11,-0.2155,0.0034,976.7483,0.132764,-346.664711,26.352,-1675.790394896
COc1ccncc1,5.32125,1.56661,1.2197,3.1499,70.4,-0.2447,-0.0071,950.1121,0.121382,-362.715048,25.165,-1558.7731440851
COc1cccnc1,5.15472,1.60253,1.23207,1.7944,70.92,-0.2302,-0.0197,945.1819,0.121224,-362.711153,25.24,-1556.3289965301
COc1cnccn1,5.39096,1.66577,1.28282,1.6581,67.31,-0.2413,-0.0421,902.5318,0.109364,-378.768081,24.305,-1443.447657538
COc1cncnc1,5.35277,1.61724,1.25191,3.2164,66.33,-0.2463,-0.0389,917.314,0.109487,-378.760347,24.281,-1438.5945029321
COc1ccccn1,5.20355,1.65283,1.26434,0.6063,71.12,-0.228,-0.0165,929.069,0.121284,-362.724946,25.247,-1564.984228167
COc1ncccn1,5.34171,1.71868,1.31102,1.9838,66.49,-0.2495,-0.0371,890.4108,0.10966,-378.777438,24.159,-1449.319259251
COc1cnccn1,5.39096,1.66577,1.28282,1.6581,67.31,-0.2413,-0.0421,902.5318,0.109364,-378.768081,24.305,-1443.447657538
COc1ccncn1,5.45812,1.65514,1.28024,1.9388,66.16,-0.2554,-0.0266,902.3564,0.109762,-378.778181,24.179,-1449.785498438
COc1ncncn1,5.60867,1.72136,1.32814,1.8691,61.3,-0.2707,-0.0478,864.117,0.098223,-394.833638,23.094,-1335.981093707
c1ccc(cc1)CO,4.93015,1.49107,1.16123,1.5825,74.11,-0.2346,0.0039,997.6939,0.13266,-346.665202,26.809,-1676.0985018151
c1cnccc1CO,5.19886,1.49354,1.16868,3.7134,69.42,-0.2471,-0.0169,971.4487,0.121025,-362.713773,25.738,-1557.9730701101
c1cc(cnc1)CO,5.09211,1.50809,1.18244,2.6651,69.68,-0.2477,-0.0173,967.2572,0.121165,-362.712898,25.685,-1557.423999735
c1cnc(cn1)CO,5.1463,1.58507,1.22104,1.8841,65.9,-0.2425,-0.0454,927.8068,0.109097,-378.759993,24.897,-1438.372364746
c1c(cncn1)CO,5.20543,1.53956,1.20698,3.7612,64.97,-0.2465,-0.0364,936.2157,0.109437,-378.762541,24.741,-1439.971257678
c1ccnc(c1)CO,5.06177,1.55077,1.19592,0.774,69.81,-0.2472,-0.0184,958.73,0.121024,-362.716688,25.826,-1559.802258845
c1cnc(nc1)CO,5.18958,1.63332,1.25193,3.8485,65.51,-0.2551,-0.0505,909.4625,0.109483,-378.772082,24.492,-1445.958321047
c1cnc(cn1)CO,5.1463,1.58507,1.22104,1.8841,65.9,-0.2425,-0.0454,927.8068,0.109097,-378.759993,24.897,-1438.372364746
c1cncnc1CO,5.32252,1.55085,1.20998,2.784,64.93,-0.2488,-0.035,931.8143,0.109337,-378.76803,24.826,-1443.415654579
c1ncnc(n1)CO,5.53177,1.59486,1.24752,1.9165,60.55,-0.2658,-0.0491,898.5104,0.09733,-394.817185,23.938,-1325.65668813
N=C1NC=CN1C=O,3.68325,2.03472,1.31067,5.1969,63.56,-0.2009,-0.0224,853.0018,0.096856,-394.82777,25.6,-1332.298870895
N=C1OC=CN1C=O,3.82655,2.01244,1.31884,3.0952,59.45,-0.2263,-0.0342,835.5209,0.084808,-414.700755,23.693,-1264.866753755
c1cn(c(=O)[nH]1)C=O,3.73991,2.03045,1.31598,4.3402,58.13,-0.2242,-0.0327,834.7848,0.085383,-414.737877,23.974,-1288.1611428531
c1coc(=O)n1C=O,4.10352,2.06493,1.37368,5.9388,54.08,-0.2471,-0.0415,796.6854,0.072411,-434.597566,22.716,-1212.385666049
Cc1c(cc[nH]1)C=O,3.32598,1.86729,1.20487,5.6823,71.77,-0.2201,-0.0238,950.8882,0.119495,-362.723781,27.309,-1564.253180182
Cc1c(cco1)C=O,3.44762,1.85377,1.21466,3.2307,67.18,-0.2373,-0.0422,931.2648,0.106934,-382.590938,26.026,-1493.1639405901
Cc1c(nc[nH]1)C=O,3.39351,1.90408,1.22906,7.2298,67.61,-0.2369,-0.0325,923.7848,0.108044,-378.777942,26.028,-1449.6355237871
Cc1c(nco1)C=O,3.52045,1.88714,1.23803,4.9414,63.11,-0.253,-0.0509,905.2027,0.095439,-398.647007,24.819,-1379.743571367
c1c[nH]c(c1C=O)N,3.44362,1.87335,1.21626,5.925,68.78,-0.2008,-0.0169,920.9895,0.108703,-378.770454,27.196,-1444.936736395
c1coc(c1C=O)N,3.60163,1.85523,1.22562,4.3936,64.76,-0.2097,-0.0269,901.6032,0.096061,-398.641719,26.036,-1376.4253037751
c1[nH]c(c(n1)C=O)N,3.51619,1.91028,1.24056,7.6407,64.96,-0.2176,-0.0244,893.9549,0.097148,-394.824507,25.888,-1330.251309028
c1nc(c(o1)N)C=O,3.67744,1.88895,1.24903,6.1718,61.03,-0.2277,-0.0342,875.5928,0.084435,-414.697346,24.874,-1262.727575574
c1c[nH]c(c1C=O)O,3.51043,1.87053,1.2203,4.6838,64.19,-0.2118,-0.0223,901.3306,0.096248,-398.648957,26.005,-1380.9672139171
Cc1c(cc[nH]1)C#C,3.49872,1.89701,1.23958,2.8531,77.55,-0.1974,0.0193,938.861,0.11898,-325.543923,29.03,-1588.0665192231
Cc1c(cc[nH]1)C#N,3.49111,1.92407,1.25011,6.2934,71.16,-0.2251,-0.002,911.5292,0.109129,-341.652648,26.517,-1507.688263904
Cc1c(cco1)C#C,3.58231,1.89371,1.24846,0.3606,72.99,-0.2141,-0.0024,920.4071,0.10638,-345.412127,27.605,-1517.634281554
Cc1c(cco1)C#N,3.57511,1.92062,1.25921,3.9776,66.9,-0.2429,-0.025,893.1616,0.096352,-361.518557,25.258,-1435.81589308
Cc1c(nc[nH]1)C#C,3.51044,1.95768,1.26674,4.3564,73.24,-0.2098,0.0088,909.8694,0.107623,-341.601345,27.581,-1475.495169677
Cc1c(nc[nH]1)C#N,3.50554,1.98554,1.2777,7.4378,66.91,-0.2424,-0.0139,883.0334,0.097625,-357.708037,25.198,-1393.841188561
Cc1c(nco1)C#C,3.5948,1.94952,1.27406,2.2349,68.82,-0.2282,-0.0143,892.8313,0.095057,-361.471178,26.246,-1406.085144169
Cc1c(nco1)C#N,3.58854,1.97689,1.28489,4.989,62.77,-0.2626,-0.0381,866.2604,0.084885,-377.575424,24.014,-1322.896276039
C#Cc1cc[nH]c1N,3.65894,1.90437,1.25643,2.775,74.06,-0.1822,0.0276,908.0248,0.108182,-341.59022,28.818,-1468.514132052
c1c[nH]c(c1C#N)N,3.65392,1.93197,1.26723,6.0434,67.78,-0.205,0.0085,880.7442,0.098282,-357.699323,26.371,-1388.373075135
C#Cc1ccoc1N,3.77157,1.90088,1.26563,1.5496,70.03,-0.1882,0.0163,889.4459,0.09554,-361.461077,27.604,-1399.74667576
c1coc(c1C#N)N,3.76536,1.92682,1.27593,4.3617,63.9,-0.2128,-0.0034,862.5541,0.085548,-377.568864,25.267,-1318.779816999
C#Cc1c([nH]cn1)N,3.6654,1.96552,1.28334,4.4709,70.03,-0.1947,0.0181,879.4269,0.096821,-357.647094,27.348,-1355.598907574
c1[nH]c(c(n1)C#N)N,3.66459,1.99366,1.29447,7.4156,63.83,-0.2209,-0.002,852.654,0.086775,-373.754393,25.028,-1274.325824421
C#Cc1c(ocn1)N,3.77617,1.957,1.29079,3.3031,66.18,-0.2022,0.0046,862.3223,0.084092,-377.519384,26.29,-1287.730671679
c1nc(c(o1)N)C#N,3.77342,1.98331,1.30132,5.7351,60.12,-0.23,-0.0153,835.9509,0.073974,-393.625264,24.064,-1205.567153255
C#Cc1cc[nH]c1O,3.76974,1.90923,1.26736,1.7098,69.51,-0.1882,0.0287,885.64,0.095714,-361.469525,27.782,-1405.047871792
c1c[nH]c(c1C#N)O,3.7435,1.93508,1.27567,5.1043,63.22,-0.2148,0.0073,860.2287,0.085915,-377.577465,25.185,-1324.1770219081
C#Cc1c([nH]cn1)O,3.76234,1.96957,1.29279,3.3737,65.58,-0.202,0.0182,858.0459,0.084358,-377.525307,26.277,-1291.447407486
Cc1cc[nH]c1C#C,3.39263,1.94374,1.24527,1.4455,79.26,-0.1967,0.0045,936.8952,0.118926,-325.543168,29.036,-1587.592749928
Cc1cc[nH]c1C#N,3.38562,1.97019,1.25512,4.2888,72.56,-0.2278,-0.018,910.3682,0.109026,-341.649244,26.566,-1505.552223268
Cc1c([nH]cn1)C#C,3.52699,1.93919,1.261,2.7202,74.5,-0.212,-0.0067,912.4693,0.107583,-341.60405,27.639,-1477.192581522
Cc1c([nH]cn1)C#N,3.51765,1.96477,1.27056,3.2803,68.04,-0.2446,-0.0303,886.3379,0.097551,-357.708562,25.267,-1394.170630786
Cc1ccoc1C#C,3.40851,1.98324,1.26357,1.2414,75.18,-0.2117,-0.0153,914.724,0.106396,-345.409214,27.535,-1515.8063478371
Cc1ccoc1C#N,3.40411,2.00944,1.27354,4.8304,68.46,-0.2449,-0.0393,888.7419,0.096369,-361.512785,25.194,-1432.1939111321
Cc1c(ocn1)C#C,3.54161,1.97503,1.27798,0.9606,70.55,-0.2286,-0.028,891.6342,0.095105,-361.471524,26.219,-1406.302262283
Cc1c(ocn1)C#N,3.53553,2.00024,1.28768,2.9367,64.05,-0.2643,-0.0532,866.0085,0.084929,-377.573281,23.979,-1321.5515242521
C#Cc1c(cc[nH]1)N,3.54222,1.94902,1.25926,1.3853,76.4,-0.1777,0.0111,906.8864,0.10809,-341.589486,29.05,-1468.053540446
c1c[nH]c(c1N)C#N,3.53493,1.97462,1.2686,4.3809,69.66,-0.2035,-0.0094,880.7399,0.098233,-357.696467,26.569,-1386.580909431
C#Cc1c(nc[nH]1)N,3.68991,1.94266,1.27421,2.0785,71.95,-0.1861,0.0013,883.491,0.096879,-357.654283,27.604,-1360.110069775
c1[nH]c(c(n1)N)C#N,3.68526,1.96635,1.28346,3.2303,65.39,-0.2131,-0.0199,857.4322,0.08694,-373.76022,25.19,-1277.982319364
C#Cc1c(cco1)N,3.5578,1.98734,1.27697,2.2,72.5,-0.1919,-0.0075,885.2634,0.095701,-361.45618,27.397,-1396.673764187
c1coc(c1N)C#N,3.55584,2.0127,1.2867,5.3778,65.72,-0.2205,-0.029,859.4229,0.085727,-377.561077,25.041,-1313.893404416
C#Cc1c(nco1)N,3.70723,1.97602,1.29038,1.4214,68.17,-0.2014,-0.0192,863.2152,0.084377,-377.522038,26.173,-1289.396080565
c1nc(c(o1)C#N)N,3.70704,1.99981,1.30004,3.7276,61.55,-0.2309,-0.0412,837.4353,0.074322,-393.625687,23.879,-1205.8325895621
C#Cc1c(cc[nH]1)O,3.62433,1.95162,1.26854,2.0927,71.97,-0.1912,0.0036,885.1746,0.095669,-361.467209,27.819,-1403.594560948
c1c[nH]c(c1O)C#N,3.60433,1.97645,1.27648,3.7723,65.26,-0.2216,-0.0183,860.2639,0.085876,-377.572597,25.207,-1321.122308096
C#Cc1c(nc[nH]1)O,3.73955,1.93735,1.27619,2.4837,67.64,-0.1999,-0.0041,867.9085,0.08471,-377.532031,26.105,-1295.666778002
c1[nH]c(c(n1)O)C#N,3.73777,1.96174,1.28652,4.686,61.1,-0.2318,-0.0275,841.4696,0.074822,-393.636813,23.567,-1212.814254696
C#Cc1c(nco1)O,3.76153,1.96987,1.29283,0.7686,64.03,-0.2161,-0.0269,847.4663,0.072117,-397.397876,24.694,-1223.7542466021
c1nc(c(o1)C#N)O,3.76332,1.99376,1.30329,4.6532,57.41,-0.2514,-0.0516,821.5823,0.062123,-413.499938,22.256,-1139.194898816
Cc1cc[nH]c1C=O,3.2821,1.93667,1.22723,2.768,73.27,-0.2253,-0.0403,939.6066,0.11985,-362.727879,26.991,-1566.824712064
Cc1c([nH]cn1)C=O,3.47368,1.90933,1.24155,0.9426,68.26,-0.2425,-0.052,915.5033,0.108494,-378.787424,25.73,-1455.585564125
Cc1ccoc1C=O,3.31037,1.95331,1.23786,4.4382,68.96,-0.2424,-0.0536,922.3484,0.106995,-382.587361,25.919,-1490.919340897
Cc1c(ocn1)C=O,3.50071,1.92529,1.25176,2.517,64.11,-0.2605,-0.0663,898.9114,0.095641,-398.648819,24.69,-1380.8806176751
c1c[nH]c(c1N)C=O,3.40893,1.93794,1.23698,3.5848,70.76,-0.202,-0.0309,909.9111,0.109122,-378.775519,26.994,-1448.11506948
c1[nH]c(c(n1)N)C=O,3.63795,1.90523,1.25159,1.9591,66.13,-0.2123,-0.0399,886.0735,0.097888,-394.839986,25.606,-1339.964520839
c1coc(c1N)C=O,3.44261,1.95199,1.24691,5.5225,66.64,-0.2195,-0.0429,893.2122,0.096323,-398.636178,25.782,-1372.948276406
c1nc(c(o1)C=O)N,3.66867,1.9188,1.26077,3.958,62.14,-0.2303,-0.053,870.1511,0.084975,-414.702028,24.573,-1265.665572712
c1c[nH]c(c1O)C=O,3.44633,1.94598,1.24371,4.3172,66.0,-0.2161,-0.0344,889.707,0.096795,-398.651701,25.712,-1382.689098613
c1[nH]c(c(n1)O)C=O,3.69219,1.91012,1.25886,2.6066,61.3,-0.2299,-0.0459,865.9852,0.085859,-414.718711,23.948,-1276.134305359
c1nc(c(o1)C=O)O,3.71962,1.92532,1.26865,3.8275,57.38,-0.2499,-0.0613,850.1556,0.072904,-434.578414,22.908,-1200.3676136811
Cc1cccn1C=O,3.2898,2.04961,1.27286,2.7373,70.85,-0.2203,-0.036,911.5122,0.119929,-362.726041,26.544,-1565.6713505221
Cc1cncn1C=O,3.32957,2.05857,1.28226,3.5078,65.79,-0.2402,-0.0522,890.9599,0.108375,-378.781714,25.401,-1452.002487735
Cc1nccn1C=O,3.46115,2.0303,1.28997,1.4972,65.88,-0.2409,-0.0505,886.469,0.108269,-378.785008,25.483,-1454.069502381
c1cc(n(c1)C=O)N,3.3925,2.06333,1.2892,3.7173,67.07,-0.206,-0.0297,881.6405,0.108911,-378.7714,26.361,-1445.5303599091
c1c(n(cn1)C=O)N,3.43045,2.07346,1.29877,4.1482,62.09,-0.2253,-0.0463,861.083,0.09744,-394.82646,25.149,-1331.476834105
